Customer_ID,Customer_Age,Customer_Gender
5006,36,Female
5007,31,Female
5008,22,Female
5010,29,Male
5011,32,Female
5013,29,Female
5014,23,Male
5017,22,Female
5019,37,Male
5020,18,Female
5021,21,Male
5022,20,Female
5023,30,Male
5024,43,Female
5027,35,Male
5032,32,Female
5034,26,Female
5035,43,Female
5036,68,Male
5039,32,Female
5040,37,Male
5041,36,Male
5042,18,Female
5043,25,Male
5045,33,Female
5047,49,Male
5048,21,Female
5049,30,Female
5050,32,Male
5051,31,Male
5054,68,Male
5055,39,Female
5056,28,Female
5057,41,Male
5058,35,Female
5059,43,Female
5062,35,Female
5063,62,Female
5065,40,Male
5066,33,Male
5067,39,Male
5068,51,Female
5069,41,Female
5070,41,Male
5073,18,Male
5075,25,Female
5076,25,Female
5078,43,Male
5080,29,Male
5081,39,Male
5083,38,Male
5085,28,Female
5088,42,Female
5089,25,Male
5091,33,Male
5094,27,Female
5095,19,Male
5097,38,Female
5099,21,Female
5100,26,Female
5103,41,Male
5104,18,Female
5106,19,Female
5108,36,Female
5109,26,Male
5110,28,Male
5112,37,Male
5115,26,Female
5117,19,Other
5118,25,Female
5120,25,Female
5121,61,Male
5122,18,Female
5123,19,Male
5124,46,Male
5125,29,Other
5126,35,Male
5128,66,Male
5130,32,Female
5132,37,Female
5134,32,Female
5139,26,Female
5140,29,Male
5142,40,Male
5143,32,Female
5144,20,Female
5145,19,Male
5146,23,Female
5147,50,Male
5148,22,Male
5150,29,Female
5151,25,Male
5155,28,Male
5156,50,Male
5158,29,Female
5159,19,Female
5160,37,Male
5161,40,Male
5166,65,Male
5167,32,Male
5173,30,Female
5177,25,Male
5178,19,Female
5180,29,Female
5182,31,Female
5184,28,Male
5185,26,Female
5187,22,Female
5188,30,Male
5189,53,Female
5191,21,Male
5192,36,Male
5193,19,Male
5194,64,Female
5198,26,Female
5201,33,Male
5204,26,Female
5205,64,Female
5208,30,Female
5209,22,Female
5210,36,Female
5211,33,Female
5212,39,Male
5213,43,Female
5214,26,Female
5215,19,Female
5216,31,Male
5218,43,Male
5221,21,Female
5226,52,Male
5227,30,Male
5228,27,Female
5229,40,Male
5230,21,Female
5232,27,Female
5233,64,Male
5234,35,Male
5235,45,Male
5236,40,Female
5237,31,Male
5239,21,Female
5241,21,Female
5243,60,Female
5244,37,Female
5247,38,Female
5248,32,Female
5253,28,Male
5255,21,Female
5256,56,Male
5262,27,Female
5263,29,Male
5264,29,Male
5265,39,Male
5266,38,Female
5267,38,Female
5269,19,Female
5270,52,Male
5271,31,Female
5272,26,Female
5274,59,Female
5275,28,Female
5276,40,Male
5277,29,Male
5281,30,Male
5282,32,Male
5284,47,Male
5288,33,Female
5290,36,Female
5291,43,Female
5293,28,Male
5295,27,Male
5297,30,Female
5299,27,Male
5301,29,Male
5302,53,Male
5303,28,Male
5304,31,Female
5306,28,Female
5307,38,Female
5308,20,Male
5310,39,Male
5311,51,Male
5313,36,Female
5314,48,Female
5317,27,Female
5318,63,Female
5319,30,Female
5322,39,Male
5325,39,Male
5326,52,Female
5328,30,Male
5329,35,Female
5332,28,Female
5334,33,Female
5336,30,Male
5342,30,Male
5343,30,Female
5344,20,Female
5346,39,Female
5347,19,Female
5348,28,Female
5349,21,Female
5353,43,Female
5354,18,Female
5355,43,Male
5356,27,Female
5358,47,Male
5362,23,Female
5363,22,Female
5365,22,Female
5366,23,Male
5371,21,Female
5372,32,Female
5373,35,Female
5375,36,Female
5377,39,Female
5378,23,Female
5379,43,Female
5380,49,Male
5383,33,Female
5384,19,Female
5385,32,Male
5386,33,Female
5387,57,Male
5388,19,Female
5389,37,Female
5390,29,Female
5393,27,Male
5394,19,Female
5396,25,Male
5397,21,Male
5399,29,Female
5401,35,Male
5402,49,Male
5403,40,Male
5404,32,Female
5405,31,Male
5406,49,Female
5407,46,Female
5408,27,Female
5410,30,Female
5411,29,Male
5412,27,Female
5414,22,Male
5416,18,Female
5417,27,Female
5418,29,Male
5419,19,Female
5421,36,Male
5422,37,Female
5423,45,Female
5426,19,Male
5427,40,Other
5428,43,Male
5430,22,Female
5431,63,Male
5432,66,Male
5433,20,Male
5435,39,Female
5436,48,Male
5437,29,Female
5438,48,Female
5442,33,Female
5443,46,Male
5445,41,Male
5447,22,Female
5449,36,Male
5451,35,Male
5452,30,Male
5453,48,Female
5454,19,Female
5455,46,Male
5456,19,Male
5457,19,Male
5460,26,Male
5461,33,Male
5462,22,Male
5463,35,Female
5465,35,Female
5466,31,Male
